Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
d3en.6xlarge,d3en,6xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,24,x86_64,12,"2,4,6,8,10,12",2,"1,2",3.1,96,167760,true,hdd,12,supported,default,40 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,4000,25000,500,4000,25000,500,5.058 USD per Hour,3.954 USD per Hour,4.079 USD per Hour,4.213 USD per Hour,3.996 USD per Hour,false,false
i8g.2xlarge,i8g,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.8,64,1875,true,ssd,1,supported,default,Up to 12 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,10000,312.5,10000,40000,1250,-,0.8228 USD per Hour,0.9478 USD per Hour,0.938 USD per Hour,0.8368 USD per Hour,false,false
r8gd.large,r8gd,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,16,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.16912 USD per Hour,0.22542 USD per Hour,0.19792 USD per Hour,0.17262 USD per Hour,false,false
i4g.16xlarge,i4g,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,512,15000,true,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,20000,80000,2500,20000,80000,2500,-,5.92416 USD per Hour,6.04916 USD per Hour,6.61536 USD per Hour,6.03616 USD per Hour,true,false
t4g.small,t4g,small,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",true,true,false,nitro,2,arm64,2,"1,2",1,1,2.5,2,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,174,1000,21.75,2085,11800,260.625,-,0.0212 USD per Hour,0.0525 USD per Hour,0.05 USD per Hour,0.0247 USD per Hour,false,false
c6id.32xlarge,c6id,32xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,7600,true,ssd,4,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,40000,160000,5000,40000,160000,5000,14.3552 USD per Hour,8.4672 USD per Hour,8.5922 USD per Hour,9.696 USD per Hour,8.6912 USD per Hour,true,true
m3.xlarge,m3,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.5,15,80,true,ssd,2,supported,supported,High,unsupported,4,15,0,-,"partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,500,4000,62.5,500,4000,62.5,0.624 USD per Hour,0.372 USD per Hour,0.472 USD per Hour,0.43 USD per Hour,0.379 USD per Hour,false,false
r5d.xlarge,r5d,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.1,32,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1150,6000,143.75,4750,18750,593.75,0.532 USD per Hour,0.348 USD per Hour,0.404 USD per Hour,0.406 USD per Hour,0.355 USD per Hour,false,false
m4.16xlarge,m4,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,256,0,-,-,0,supported,default,25 Gigabit,supported,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,false,10000,65000,1250,10000,65000,1250,6.944 USD per Hour,4 USD per Hour,4.1 USD per Hour,4.6912 USD per Hour,4.112 USD per Hour,false,false
r4.2xlarge,r4,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,61,0,-,-,0,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,1700,12000,212.5,1700,12000,212.5,1.0064 USD per Hour,0.6384 USD per Hour,0.7384 USD per Hour,0.7552 USD per Hour,0.654 USD per Hour,false,false
is4gen.2xlarge,is4gen,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,48,7500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,true,5000,20000,625,10000,40000,1250,-,1.3821 USD per Hour,1.5071 USD per Hour,1.4973 USD per Hour,1.3961 USD per Hour,false,false
c5.24xlarge,c5,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,false,19000,80000,2375,19000,80000,2375,9.744 USD per Hour,5.328 USD per Hour,5.428 USD per Hour,6.365 USD per Hour,5.496 USD per Hour,false,false
r8gd.metal-24xl,r8gd,metal-24xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,arm64,96,-,1,-,2.8,768,5700,true,ssd,3,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,-,8.11776 USD per Hour,8.24276 USD per Hour,9.15456 USD per Hour,8.28576 USD per Hour,true,false
m5zn.metal,m5zn,metal,"ap-southeast-2a, ap-southeast-2c",false,false,true,,48,x86_64,24,-,2,-,4.5,192,0,-,-,0,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,7.164 USD per Hour,4.956 USD per Hour,5.081 USD per Hour,5.4744 USD per Hour,5.04 USD per Hour,false,false
c6in.large,c6in,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,4,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1562,6250,195.3125,25000,100000,3125,0.24005 USD per Hour,0.14805 USD per Hour,0.20435 USD per Hour,0.17685 USD per Hour,-,false,true
m8gd.24xlarge,m8gd,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,arm64,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96",1,1,2.8,384,5700,true,ssd,3,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,-,6.95616 USD per Hour,7.08116 USD per Hour,7.99296 USD per Hour,7.12416 USD per Hour,true,false
